"method","parameter","true_value","mean_est","bias","rmse","emp_se","mce_bias","mce_emp_se","mce_rmse"
"ELF","X_12",0.5,0.532335291684898,0.0323352916848977,0.0963244276149653,0.0908257833042409,0.00406185251155896,0.00287503993399624,0.00414420916248424
"ELF","V_12",-0.3,-0.291025335569848,0.00897466443015193,0.0501446616678801,0.0493844118362987,0.00220853803789618,0.00156323624174729,0.00181859743029203
"ELF","X_13",0.3,0.247943751712445,-0.0520562482875548,0.142966909108061,0.13328621287749,0.00596074064915149,0.00421910134691911,0.0080686141940106
"ELF","V_13",0.2,0.194010644060273,-0.00598935593972696,0.0519262202511042,0.0516313039549615,0.00230902210820495,0.00163436036898876,0.00167480025579127
"ELF","gamma_13",-0.4,-0.145835318145488,0.254164681854512,0.570369762775129,0.511120797586443,0.022858016962344,0.0161792461424158,0.0187802893402537
"ELF","X_23",0.4,0.399824569055174,-0.000175430944826166,0.0680019154626972,0.0680697930364671,0.00304417368887765,0.00215471164859818,0.0020391680964691
"ELF","V_23",0.1,0.0991695780817111,-0.000830421918288894,0.0323817725946717,0.0324035426297894,0.00144913048064043,0.00102571621927585,0.00102255264927474
"ELF","intercept_cure",-1.66664027731256,-1.55468934863127,0.111950928681288,0.47177321411353,0.458756875549715,0.0205162311774915,0.0145216951532659,0.0142324570071545
"ELF","X_cure",0.5,0.570867606739065,0.0708676067390648,0.295100631418573,0.286751840822597,0.0128239321750505,0.00907697091640062,0.0162701079563612
"ELF","V_cure",-0.2,-0.137364249937545,0.062635750062455,0.174409188911442,0.162936873790256,0.00728675851672634,0.00515767661808448,0.0050836057920496
"Multicure","X_12",0.5,0.542086989392841,0.0420869893928414,0.103594414502244,0.0947546565070503,0.00423755706268814,0.00299940624213857,0.00426187461746857
"Multicure","V_12",-0.3,-0.289310727028881,0.0106892729711186,0.0509734060963813,0.0498899346921068,0.00223114570729152,0.00157923828813898,0.00170958945190176
"Multicure","X_13",0.3,0.227284897094563,-0.0727151029054373,0.161285753612367,0.1441080928074,0.00644470983250389,0.00456166197042822,0.00827277630745933
"Multicure","V_13",0.2,0.200531257950508,0.000531257950508049,0.0530841499201246,0.0531346527265685,0.00237625390914903,0.00168194804283921,0.0016276678461509
"Multicure","gamma_13",-0.4,0.206660339081984,0.606660339081984,0.795634673161292,0.515294890105604,0.0230446880546883,0.0163113747323844,0.0189752751286008
"Multicure","X_23",0.4,0.400398025024597,0.000398025024597396,0.0673151494709784,0.0673813878399253,0.00301338727256701,0.00213292056286431,0.00209880185257167
"Multicure","V_23",0.1,0.0992979221941135,-0.000702077805886482,0.0322265431822596,0.0322511619500256,0.00144231580947224,0.00102089269314096,0.00102283546469779
"Multicure","intercept_cure",-1.66664027731256,-1.55584660998568,0.110793667326875,0.424532717406581,0.410230874227204,0.0183460824248239,0.0129856314215385,0.0139914053468138
"Multicure","X_cure",0.5,0.596781355566995,0.0967813555669954,0.297525879051623,0.28162678354602,0.0125947326458704,0.00891474006302256,0.0186699878222551
"Multicure","V_cure",-0.2,-0.127833551445447,0.0721664485545532,0.171649273223511,0.155897674360217,0.00697195594807142,0.0049348546535666,0.00485798658664551
